2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,Difference
134.28,142.09,144.92,127.67,127.64,110.28,24.0
144.42,145.98,154.51,155.25,139.49,107.86,36.55999999999999
32.8,32.12,31.87,31.61,30.41,23.8,8.999999999999996
117.56,115.62,116.78,107.93,96.44,92.23,25.33
93.58,92.09,89.83,92.53,92.34,79.27,14.310000000000002
105.68,105.09,104.13,103.61,102.99,111.0,-5.319999999999993
132.04,137.49,145.87,148.87,134.48,131.13,0.9099999999999966
43.33,42.83,40.71,39.45,36.57,26.96,16.369999999999997
124.92,131.76,139.4,132.36,116.11,90.03,34.89
24.82,25.06,24.63,22.94,21.22,19.14,5.68
140.78,152.42,153.16,168.69,150.68,127.18,13.599999999999994
63.53,65.12,69.16,68.21,60.47,59.99,3.539999999999999
17.97,19.39,20.24,18.71,16.35,10.37,7.6
132.88,136.34,137.55,143.24,131.19,127.87,5.009999999999991
21.56,21.62,20.71,19.05,17.35,9.67,11.889999999999999
19.98,19.61,21.17,20.87,19.17,13.92,6.0600000000000005
169.04,163.86,178.17,165.74,153.71,143.74,25.299999999999983
51.26,47.01,50.95,42.75,39.15,14.59,36.67
32.33,30.5,32.13,29.2,24.77,24.74,7.59
24.64,27.34,28.99,26.86,28.13,30.12,-5.48
17.04,19.14,18.12,23.16,21.66,11.56,5.479999999999999
164.77,172.29,169.17,175.4,175.69,126.39,38.38000000000001
271.04,266.83,292.4,298.21,293.43,240.0,31.04000000000002
51.3,52.32,50.83,47.59,39.66,26.68,24.619999999999997
59.6,59.65,55.79,66.36,60.34,38.2,21.4
113.95,117.35,131.43,139.64,126.13,138.72,-24.769999999999996
56.48,59.05,59.01,54.48,45.39,26.32,30.159999999999997
33.99,35.28,35.7,32.685,29.58,20.51,13.48
376.68,391.03,389.38,428.12,369.87,338.95,37.73000000000002
49.0,50.9,52.49,51.45,45.63,34.83,14.170000000000002
111.61,117.31,119.76,116.24,106.57,86.05,25.560000000000002
89.7,92.54,94.48,77.86,71.46,49.63,40.07
156.53,164.74,169.75,168.52,140.38,103.43,53.099999999999994
27.5,26.93,26.92,22.31,20.42,5.63,21.87
15.16,15.32,17.0,15.95,13.23,4.91,10.25
11.53,11.65,13.58,11.37,8.28,3.29,8.239999999999998
63.95,60.64,60.25,54.5,47.42,23.62,40.33
126.55,140.36,151.43,140.06,124.0,74.81,51.739999999999995
103.62,108.07,111.41,111.86,104.56,86.46,17.16000000000001
261.91,268.4,279.64,263.8,227.53,189.23,72.68000000000004
46.25,46.55,47.99,47.52,41.32,34.57,11.68
276.81,292.23,298.59,315.94,290.25,241.56,35.25
11.94,11.7,13.55,14.63,11.79,8.81,3.129999999999999
160.69,169.25,169.73,163.37,146.19,141.21,19.47999999999999
196.7,194.48,197.61,213.97,194.17,165.35,31.349999999999994
133.0,144.64,138.32,142.61,139.86,135.26,-2.259999999999991
108.9,111.39,113.45,115.44,100.67,90.18,18.72
86.66,87.18,90.95,85.44,76.56,76.94,9.719999999999999
46.79,49.91,50.97,49.71,42.72,30.57,16.22
704.94,719.41,793.28,757.18,701.7,690.51,14.430000000000064
28.5,31.95,33.27,31.06,24.56,11.8,16.7
31.07,37.14,38.15,29.96,25.82,10.79,20.28
94.29,94.54,104.72,97.48,90.71,67.8,26.49000000000001
47.55,47.51,53.78,53.09,52.56,42.06,5.489999999999995
143.37,151.38,157.7,170.23,162.01,157.71,-14.340000000000003
138.99,136.11,131.86,137.21,129.26,103.03,35.96000000000001
143.38,139.37,136.38,131.68,121.15,76.24,67.14
52.72,50.48,53.9,55.58,49.61,39.01,13.71
52.45,52.54,55.08,57.38,52.8,50.08,2.3700000000000045
56.13,59.82,63.55,66.6,62.41,56.26,-0.12999999999999545
220.69,226.67,237.41,256.79,240.03,211.5,9.189999999999998
46.05,49.48,51.12,52.26,45.03,34.0,12.049999999999997
166.32,167.3,161.14,177.0,165.68,132.92,33.400000000000006
19.15,18.78,20.1,21.42,17.19,14.91,4.239999999999998
99.77,104.8,107.1,116.46,102.55,94.95,4.819999999999993
22.62,22.55,25.05,20.61,18.71,9.83,12.790000000000001
13.77,14.35,13.68,14.38,11.23,7.58,6.1899999999999995
17.125,20.29,21.585,19.89,20.81,17.85,-0.7250000000000014
55.88,60.59,62.25,53.4,46.72,41.69,14.190000000000005
287.41,314.66,323.57,345.09,369.03,375.5,-88.08999999999997
18.97,19.22,19.22,19.53,15.43,13.28,5.6899999999999995
39.73,38.4,43.45,45.06,44.63,45.28,-5.550000000000004
13.71,12.88,14.14,13.62,12.075,8.975,4.735000000000001
14.12,13.17,14.51,13.97,12.44,8.99,5.129999999999999
238.34,233.82,242.16,268.2,252.76,240.62,-2.280000000000001
20.16,19.55,20.3,20.4,18.21,12.54,7.620000000000001
89.55,93.49,101.31,96.3,89.38,82.74,6.810000000000002
28.04,26.45,27.84,29.31,27.02,24.97,3.0700000000000003
19.26,20.76,24.84,19.77,15.83,6.04,13.220000000000002
35.9,38.17,40.93,36.86,34.7,15.34,20.56
182.0,193.5,194.13,208.21,182.35,146.0,36.0
99.68,107.24,106.24,97.81,87.76,75.46,24.220000000000013
352.48,351.77,343.97,374.57,328.84,302.55,49.93000000000001
50.76,53.64,58.41,53.85,37.26,10.96,39.8
40.12,39.73,39.75,36.89,33.21,27.26,12.859999999999996
53.85,56.36,56.28,47.49,41.35,36.02,17.83
201.02,216.74,235.3,236.43,270.07,263.6,-62.58000000000001
435.51,442.28,438.26,406.1,368.72,301.05,134.45999999999998
40.5,38.57,41.21,39.72,32.74,11.58,28.92
77.19,79.48,81.02,75.31,69.28,54.9,22.29
69.83,71.05,75.67,74.87,66.72,21.81,48.019999999999996
54.49,56.14,52.98,52.45,49.46,48.33,6.160000000000004
76.06,81.37,79.1,74.21,66.9,61.13,14.93
109.46,111.9,111.99,95.75,90.62,86.83,22.629999999999995
183.49,198.79,205.82,195.69,184.77,129.73,53.76000000000002
83.64,86.12,85.06,85.77,77.48,62.92,20.72
104.1,108.01,108.17,113.89,107.99,95.74,8.36
41.47,44.35,45.87,42.93,39.39,29.76,11.709999999999997
16.17,16.5,16.9,15.42,13.99,11.05,5.120000000000001
137.17,135.83,136.67,142.02,132.03,120.1,17.069999999999993
85.96,92.9,97.1,92.48,86.44,75.28,10.679999999999993
53.02,51.23,51.66,57.04,50.69,48.09,4.93
38.37,38.52,39.18,37.24,33.42,32.64,5.729999999999997
6.17,7.46,10.87,15.21,15.5,8.99,-2.8200000000000003
81.44,82.93,85.09,82.7,81.87,72.96,8.480000000000004
116.82,114.72,111.41,91.37,74.86,53.65,63.169999999999995
94.12,87.39,89.93,97.69,89.49,75.79,18.33
123.02,127.84,151.37,135.0,122.78,70.15,52.86999999999999
146.7,153.21,159.63,148.55,126.4,95.72,50.97999999999999
96.06,107.34,117.22,113.5,105.51,66.83,29.230000000000004
125.12,128.84,133.49,119.84,104.45,83.6,41.52000000000001
33.49,34.03,35.88,36.19,30.01,24.68,8.810000000000002
53.38,55.1,55.0,52.95,44.39,31.34,22.040000000000003
124.51,122.06,124.9,124.62,113.23,110.0,14.510000000000005
69.7,73.05,72.39,80.69,73.16,73.84,-4.140000000000001
87.76,91.55,89.14,92.88,84.28,80.37,7.390000000000001
91.14,93.62,93.74,91.06,75.45,52.14,39.0
63.31,59.31,59.05,59.2,51.31,44.91,18.400000000000006
222.86,210.68,212.96,223.76,209.12,198.61,24.25
39.24,39.65,38.8,44.65,40.2,22.32,16.92
87.16,96.96,105.15,87.17,74.11,37.64,49.519999999999996
80.86,104.21,116.23,105.86,100.58,80.63,0.23000000000000398
80.44,83.55,88.23,85.31,78.3,67.65,12.789999999999992
42.05,41.64,40.71,39.15,38.13,31.73,10.319999999999997
101.25,106.55,106.79,110.67,106.06,80.3,20.950000000000003
4.03,3.49,4.85,3.0,2.77,2.28,1.7500000000000004
83.49,89.82,89.46,91.43,83.63,63.2,20.289999999999992
212.21,217.42,219.74,220.94,188.56,131.15,81.06
81.79,76.63,73.63,78.41,72.39,49.86,31.930000000000007
67.24,65.04,63.09,62.04,57.44,38.43,28.809999999999995
306.28,369.0,375.48,337.94,444.57,488.29,-182.01000000000005
16.1,16.64,17.16,15.57,13.52,8.97,7.130000000000001
87.51,88.65,89.63,95.05,90.26,75.06,12.450000000000003
147.92,149.6,154.97,158.97,158.96,147.29,0.6299999999999955
57.27,58.2,63.15,58.17,50.41,37.75,19.520000000000003
171.99,195.84,202.67,191.66,183.5,150.91,21.080000000000013
336.96,360.37,354.23,381.66,351.7,311.81,25.149999999999977
109.67,116.15,116.42,112.19,108.78,86.97,22.700000000000003
108.83,120.02,133.51,117.08,80.41,32.17,76.66
257.99,264.65,273.05,293.73,265.91,245.05,12.939999999999998
156.49,162.89,162.64,182.31,170.4,143.98,12.51000000000002
240.65,236.47,240.99,249.56,265.09,269.97,-29.32000000000002
32.69,36.2,40.2,33.51,27.09,13.49,19.199999999999996
58.03,59.68,59.5,56.99,47.95,48.8,9.230000000000004
41.77,37.73,39.83,35.5,30.31,24.71,17.060000000000002
144.51,147.27,151.48,160.64,139.78,112.99,31.519999999999996
572.32,583.13,583.54,556.99,516.75,459.52,112.80000000000007
150.68,151.21,148.96,133.15,123.08,54.86,95.82000000000001
91.06,98.3,120.88,113.15,100.18,89.38,1.6800000000000068
83.6,85.33,91.88,92.04,78.44,43.1,40.49999999999999
162.67,160.46,169.4,159.63,144.75,108.82,53.849999999999994
62.66,61.99,63.7,70.4,60.36,54.14,8.519999999999996
56.13,57.64,53.98,54.98,46.19,35.61,20.520000000000003
151.33,157.74,165.74,159.33,143.7,100.0,51.33000000000001
84.56,85.43,87.92,84.83,78.43,65.74,18.820000000000007
66.07,75.1,79.1,75.63,68.11,53.27,12.79999999999999
57.6,62.82,63.81,62.68,57.43,48.58,9.020000000000003
216.27,204.86,209.94,210.7,190.59,166.49,49.78
221.48,231.73,251.04,240.33,208.16,151.08,70.39999999999998
35.37,37.41,36.01,32.41,29.1,16.09,19.279999999999998
135.75,141.04,139.2,147.51,137.93,128.79,6.960000000000008
79.87,80.55,85.54,82.14,66.65,45.63,34.24
115.8,123.56,121.84,133.53,118.01,97.65,18.14999999999999
120.35,121.35,122.43,124.64,107.48,118.61,1.7399999999999949
25.86,26.89,26.97,25.77,23.45,12.95,12.91
106.91,125.01,128.21,110.74,103.0,92.97,13.939999999999998
89.5,92.71,95.84,92.18,82.87,62.98,26.520000000000003
19.73,18.84,21.44,16.51,14.84,6.74,12.99
117.99,120.21,128.29,120.65,114.14,99.93,18.059999999999988
46.09,46.24,44.6,45.93,40.6,26.67,19.42
46.75,48.97,50.33,44.78,39.9,33.68,13.07
147.69,148.23,153.54,157.31,159.42,173.25,-25.560000000000002
291.0,313.09,321.29,346.89,324.57,275.67,15.329999999999984
146.87,148.16,146.98,155.17,143.99,132.5,14.370000000000005
19.88,19.05,21.64,19.84,17.03,10.82,9.059999999999999
131.06,136.72,136.95,131.62,119.81,99.35,31.710000000000008
129.92,151.58,144.63,138.31,117.65,96.6,33.31999999999999
301.98,313.95,324.87,313.19,290.8,283.6,18.379999999999995
124.51,133.8,133.65,134.02,133.59,129.5,-4.989999999999995
57.65,61.13,61.06,59.04,59.8,47.81,9.839999999999996
97.33,102.76,105.25,104.26,92.66,71.97,25.36
95.02,94.44,93.44,92.95,88.51,84.55,10.469999999999999
526.28,567.1,560.0,643.28,557.81,320.19,206.08999999999997
40.4,28.4,30.38,27.32,23.45,17.39,23.009999999999998
32.04,35.76,37.07,37.08,30.74,23.63,8.41
31.24,34.98,36.4,36.33,30.45,22.88,8.36
82.79,89.89,91.04,82.63,67.83,57.87,24.92000000000001
57.02,60.03,59.29,53.22,46.44,34.45,22.57
50.25,48.05,46.7,47.91,44.98,36.54,13.71
233.15,233.86,253.14,267.91,257.09,175.7,57.45000000000002
20.65,18.89,21.6,20.18,14.19,9.21,11.439999999999998
18.5,17.3,19.18,17.96,12.48,8.06,10.44
165.46,175.99,180.79,179.42,159.81,141.04,24.420000000000016
90.84,92.8,88.09,74.8,61.59,31.55,59.290000000000006
252.7,279.87,293.98,272.45,254.96,249.38,3.319999999999993
115.17,119.73,117.06,103.52,90.49,93.42,21.75
133.57,153.05,166.77,135.69,132.48,102.9,30.669999999999987
143.58,148.34,149.76,150.2,130.59,94.33,49.250000000000014
137.46,139.49,143.46,137.11,123.74,99.08,38.38000000000001
27.54,30.74,29.16,26.69,23.31,15.01,12.53
82.29,88.54,99.66,82.97,72.0,54.08,28.210000000000008
