,Unnamed: 0,Symbol,Name,Sector,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24
35,36,AMT,American Tower Corp A,Real Estate,225.9300,224.4500,229.0900,216.6700,215.5200,205.8700,213.3700,210.1100,214.0300,212.2000,212.5200,227.7400,229.0800,228.6100,230.8000,233.4200,237.5200,231.7400,238.7500,256.2500,247.0100,226.8000,246.3200,238.9900,195.3900,218.4800,222.8000,,254.0600,244.6100
36,37,AWK,American Water Works Company Inc,Utilities,125.7800,123.6900,122.4100,121.1100,122.7800,116.3000,118.2400,119.0400,121.0300,122.6700,119.2000,122.7200,122.9600,120.9800,122.5600,130.4400,135.7800,136.2000,134.4500,139.3200,137.7700,123.6600,141.0000,128.2900,100.6900,120.7700,113.3200,,131.7600,125.0100
37,38,AMP,Ameriprise Financial,Financials,136.1900,138.2700,142.0000,149.4500,152.8900,158.5400,160.1700,159.7700,163.8700,164.9000,167.4400,168.0900,166.7100,167.1200,169.1600,172.4300,167.5700,165.4100,175.3200,178.8200,175.4300,141.3000,126.6000,113.3400,89.8300,103.3300,90.3200,,110.9500,107.4800
38,39,ABC,AmerisourceBergen Corp,Health Care,81.8500,81.9600,89.6400,86.8000,86.8700,86.0700,87.3000,90.2600,87.9100,88.2400,84.8500,85.6700,84.9100,84.0100,87.0400,91.0600,88.9200,85.5600,91.9400,94.3600,97.0000,84.3200,85.8100,90.0000,80.6100,81.7800,81.3400,,89.1900,88.7000
39,40,AME,AMETEK Inc.,Industrials,88.8300,88.5100,88.3500,89.9600,94.2000,96.5400,98.1700,97.9000,99.0100,98.5500,98.5600,99.7800,99.9500,100.9400,100.7600,101.7800,99.5700,97.1500,98.3000,101.3400,99.3400,86.0000,88.5200,74.6000,63.3700,71.0100,71.2900,,80.3100,77.0600
40,41,AMGN,Amgen Inc.,Health Care,195.5900,200.8000,202.7200,203.0500,217.9500,221.1100,220.8600,230.7400,234.7200,233.7700,236.7400,243.0600,241.5300,238.4700,238.2600,241.4900,225.5900,216.0500,229.3300,223.4800,222.7900,199.7300,210.6500,202.1000,188.2500,198.2700,205.4100,,234.9700,236.2800
41,42,APH,Amphenol Corp,Information Technology,96.1400,96.9800,99.0000,100.2300,102.7800,102.7000,102.2500,101.7400,104.0000,104.0300,107.1400,107.1500,108.0600,108.0900,108.3200,109.4500,105.3600,99.4700,103.3600,104.0700,101.7500,91.6800,92.5600,79.6000,70.0400,74.2700,68.4200,,84.2200,86.1700
42,44,ADI,"Analog Devices, Inc.",Information Technology,113.0300,111.2200,109.4800,106.8300,109.3700,113.0200,113.4000,110.6500,112.9500,115.8900,118.7700,119.8200,119.4500,118.3100,118.5700,119.4700,117.5700,109.7500,112.2700,117.6500,122.7600,109.0500,107.0000,99.7900,85.0800,88.6700,86.5600,,102.8000,105.9200
43,46,ANSS,ANSYS,Information Technology,224.6300,224.1600,218.4300,220.2500,220.0000,224.3100,235.1500,246.3800,254.6900,256.6300,253.9300,258.8900,258.6800,256.9700,260.8000,270.2800,277.3400,274.3300,284.8300,291.9800,287.1100,242.1900,237.7800,235.4200,213.1100,223.0200,218.3000,,263.9000,259.4500
44,47,ANTM,Anthem Inc.,Health Care,241.7900,237.5500,249.4000,263.0700,270.7500,282.0900,297.8200,291.8300,288.6600,285.2700,284.1200,303.0000,306.4200,296.8800,307.7400,305.3900,297.2800,265.2800,276.4800,297.8200,294.7100,257.0900,282.1900,270.3400,191.5900,222.9600,203.3000,,267.8200,264.1200
45,48,AON,Aon plc,Financials,192.0000,191.1000,192.9100,188.6500,195.8500,194.5700,198.7100,199.5800,203.6100,205.9900,206.1500,209.9300,207.5100,207.9700,208.0600,211.8500,213.4200,220.2500,230.1300,235.7300,231.5100,208.0000,214.8100,177.4500,149.5500,165.4200,154.1400,,190.8100,175.5400
46,49,APA,Apache Corporation,Energy,22.1600,21.4200,22.4400,22.0700,23.8100,24.4300,23.9100,23.4100,22.2800,19.9900,21.3500,22.6200,26.1200,25.6900,32.3800,32.6700,29.9800,27.4400,28.1100,27.3600,28.4000,24.9200,20.7000,8.0700,4.8300,4.8600,5.3800,,8.4900,10.6900
47,50,AIV,Apartment Investment & Management,Real Estate,53.3200,53.5500,54.4800,54.2900,55.2300,53.1700,54.2200,53.2300,53.7700,52.6100,51.1500,50.7100,51.2500,51.3800,51.5200,52.7500,54.0200,52.7100,53.3700,54.8000,55.4900,47.8400,49.8100,46.0500,28.3100,34.9800,30.6400,,39.1500,35.0900
48,51,AAPL,Apple Inc.,Information Technology,227.0100,236.2100,236.4100,246.5800,255.8200,260.1400,265.7600,261.7800,267.2500,270.7100,275.1500,279.4400,289.8000,297.4300,310.3300,318.7300,318.3100,309.5100,320.0300,324.9500,313.0500,273.3600,289.0300,277.9700,229.2400,247.7400,241.4100,,282.8000,282.9700
49,52,AMAT,Applied Materials Inc.,Information Technology,50.8800,51.7500,51.6800,55.7200,55.4600,56.0300,62.0600,55.9400,57.9000,56.6000,59.8700,61.8100,61.1700,61.2100,61.4700,62.8500,62.0000,57.9900,61.7100,66.8500,64.2700,58.1200,57.7900,50.8900,37.9900,45.0500,42.2800,,53.2000,51.7400
50,53,APTV,Aptiv Plc,Consumer Discretionary,83.4300,86.2600,88.9600,89.5800,92.3500,96.8800,92.3100,91.4700,93.8800,93.7700,93.5500,96.3500,96.3100,94.1000,89.5100,91.5300,91.5400,84.7900,87.1300,88.3200,90.0700,78.1100,76.2900,66.4700,45.1700,51.2800,43.2900,,63.9200,62.7400
51,54,ADM,Archer-Daniels-Midland Co,Consumer Staples,40.3500,40.4600,39.6400,41.0100,42.4300,43.3100,42.8700,42.7200,42.9300,43.9100,45.2000,45.7900,46.3000,46.0200,43.9500,45.2500,44.3000,44.7600,45.7100,44.7700,43.9000,37.6500,37.6400,34.6400,30.6100,33.5000,34.6500,,37.1900,35.9900
52,55,ARNC,Arconic Inc.,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4700,8.0400
53,56,AJG,Arthur J. Gallagher & Co.,Financials,89.0200,87.9800,89.5500,89.4500,91.5200,91.1500,91.9400,91.7400,93.2700,93.7500,94.4500,95.4200,94.7500,95.3100,95.4400,96.4500,96.8600,102.5700,104.9300,109.1600,107.8300,97.4900,100.8400,90.0600,71.5800,80.1700,76.2600,,83.6000,75.2800
54,57,AIZ,Assurant Inc.,Financials,126.7900,125.7800,125.6700,125.5700,127.7000,130.0700,132.0900,131.8200,132.8700,131.5800,130.1500,131.2600,129.6600,132.9900,132.4400,133.7700,129.1800,130.5600,136.3600,142.5200,140.1000,120.5900,119.6900,104.5300,91.0500,104.7000,98.7500,,105.8100,104.6500
55,58,T,AT&T Inc.,Telecommunication Services,37.5100,37.5800,38.4700,36.9100,38.9500,39.3800,39.5000,37.7500,37.3800,38.2000,38.2600,39.1500,39.2400,39.0600,38.5700,38.3800,38.5000,37.6200,38.4500,38.2500,38.5500,35.2200,37.0300,34.4700,28.4500,29.8400,27.4600,,31.2300,29.7100
56,59,ADSK,Autodesk Inc.,Information Technology,146.8900,150.3200,139.6700,145.5400,150.2500,152.9600,161.7500,167.0100,180.9000,179.3200,179.4100,182.8400,185.3800,184.9500,192.3600,193.3500,199.1900,196.8500,207.0100,208.9500,201.9100,190.8800,173.4200,158.0300,148.0200,141.5700,139.0000,,180.9400,180.3500
57,60,ADP,Automatic Data Processing,Information Technology,159.1700,162.5200,163.5400,161.9600,162.9800,162.7300,171.1700,169.6500,170.7800,169.9800,168.2600,171.0900,170.7700,169.9600,171.0900,176.8700,177.2100,171.3900,179.1000,181.2500,178.5800,154.7400,159.1500,144.5000,112.0600,131.3800,128.5700,,141.0800,139.2300
58,61,AZO,AutoZone Inc,Consumer Discretionary,1060.3300,1085.9700,1110.0000,1129.4700,1156.2800,1165.8600,1171.8800,1163.8700,1177.9200,1172.6600,1235.3200,1226.7400,1202.5900,1187.9800,1132.2200,1154.5800,1140.2300,1057.9600,1058.9100,1053.2100,1068.0300,1032.5100,1060.3100,1012.7300,728.1300,851.6300,790.5600,,991.8000,1047.0400
59,62,AVB,"AvalonBay Communities, Inc.",Real Estate,219.0000,218.0800,220.1700,219.4100,217.2400,209.8500,214.5300,211.2800,214.4100,215.9400,208.6400,208.0100,208.8400,209.2300,208.4500,216.0700,219.3300,216.6900,219.1700,227.5300,228.0200,200.5900,209.0600,193.1600,131.6200,160.2700,132.2200,,170.3700,158.3800
60,63,AVY,Avery Dennison Corp,Materials,111.3600,113.3700,116.8900,126.8000,129.4000,133.8300,132.0800,129.2600,130.3700,130.1400,129.9900,131.9200,131.6100,128.5100,128.5100,134.7200,129.6800,131.2400,136.2400,138.1300,133.9500,114.4900,120.8200,106.0800,90.8000,100.3100,93.6100,,109.3600,108.5400
61,64,BHGE,"Baker Hughes, a GE Company",Energy,22.4700,22.2300,21.7700,22.3800,21.9000,22.2500,22.6900,22.4200,22.4200,22.2100,23.6400,25.0900,25.4900,25.6400,24.8600,23.6100,22.8600,21.6600,22.4500,21.9800,20.5300,16.0900,16.0800,12.7300,10.0000,11.8800,10.4000,,13.0300,13.4200
62,65,BLL,Ball Corp,Materials,72.7300,72.6100,74.1100,71.9100,68.3600,64.6500,65.6000,65.7300,66.0600,63.5500,63.3400,65.1800,64.6900,64.7700,66.2700,69.2400,71.9300,72.1800,76.9200,77.2200,76.8600,70.4600,76.0500,63.8400,54.8900,64.3800,62.1700,,70.2000,65.2700
63,66,BAC,Bank of America Corp,Financials,28.3700,28.9100,30.3500,31.7200,31.8000,33.2600,32.9300,33.1800,33.3200,33.6700,34.4400,34.9600,35.3500,34.9000,34.7400,34.7100,33.5400,32.8300,34.6100,34.8500,34.3600,28.5000,25.7100,24.1600,19.6700,21.6000,20.0300,,23.2800,22.1800
64,67,BAX,Baxter International Inc.,Health Care,86.6400,88.0300,87.9900,77.2800,77.9100,78.5100,81.4400,82.0200,81.9700,83.1700,83.9600,82.4900,84.0500,85.5000,85.9000,89.7300,90.7800,89.2200,91.2500,93.1400,92.6700,83.4700,85.3800,80.9900,75.7500,79.7900,81.4200,,92.9500,92.9200
65,69,BDX,Becton Dickinson,Health Care,253.1100,252.8600,258.5900,244.3000,258.1500,244.7900,248.3000,249.8900,258.5000,260.6900,268.7200,271.6600,272.8500,269.5900,274.4600,277.0800,278.2500,275.1800,246.9100,260.2200,257.3500,237.8200,239.1200,236.5000,220.1200,216.5800,226.7300,,261.4000,268.1700
66,70,BRK.B,Berkshire Hathaway,Financials,208.0800,208.0800,208.7600,211.8000,215.8300,221.3100,219.7400,217.9600,220.3000,222.6100,225.3700,226.3100,226.1400,226.1800,226.6200,230.2000,226.8600,224.4300,227.3800,226.8000,229.3300,206.3400,205.9800,196.4000,170.0600,179.6600,178.3400,,191.2000,186.5200
67,71,BBY,Best Buy Co. Inc.,Consumer Discretionary,66.8900,69.5300,70.5200,73.1500,72.9200,76.8500,77.0900,72.6400,80.6400,82.0500,84.7900,87.7300,87.0100,87.1800,90.6500,89.9400,89.4400,84.6900,87.0200,90.2100,90.2600,75.6500,73.8200,61.0600,51.6500,62.4700,53.4800,,70.4000,71.8800
68,72,BIIB,Biogen Inc.,Health Care,224.0000,223.2100,220.0600,288.0400,299.2000,293.2500,282.2700,299.0800,299.8100,300.2600,296.8300,301.0500,300.0900,290.8500,296.5100,285.5000,278.1400,268.8500,338.7000,333.0000,336.7100,308.3900,317.9500,305.2100,278.7700,296.7500,300.5100,,342.5500,297.8000
69,73,BLK,BlackRock,Financials,427.4400,434.0000,445.0400,459.8000,469.1700,490.2100,490.9600,485.0000,494.9100,495.7600,498.6100,499.5900,503.0100,503.5700,512.1800,535.2400,536.8400,527.3500,555.7400,565.9400,557.0000,463.0100,450.4100,413.7800,354.7200,434.3400,418.0700,,476.8700,475.1400
70,74,HRB,Block H&R,Financials,23.4000,23.6300,23.2800,25.1800,24.9500,24.4200,24.9200,24.5100,24.3800,23.5000,23.4900,23.6300,23.3900,23.4600,23.6500,24.4700,23.9400,23.2000,22.3100,22.3800,23.4700,20.6700,19.7900,17.4600,13.0800,15.0800,11.9400,,14.3600,14.7000
71,75,BA,Boeing Company,Industrials,375.7000,374.9200,344.0000,339.8300,345.1900,351.0000,371.6800,371.3400,366.1800,354.0900,341.6700,328.0000,330.1400,332.7600,329.9200,324.1500,323.0500,318.2700,336.7500,340.4900,330.3800,275.1100,262.3300,170.2000,95.0100,162.0000,124.5200,,154.0000,128.9800
72,76,BKNG,Booking Holdings Inc,Consumer Discretionary,1983.2000,1977.1800,2013.5300,2055.9300,2032.0200,1879.1900,1848.8200,1877.5300,1904.0300,1930.2700,1973.6000,2023.2600,2072.5400,2065.4800,2086.9000,2054.6900,1962.9600,1830.5500,1909.5900,1990.9600,1928.7200,1695.6600,1612.0900,1421.3300,1177.4300,1255.1500,1230.6800,,1470.8700,1362.7700
73,77,BWA,BorgWarner,Consumer Discretionary,35.1500,37.2000,38.7400,39.7200,43.6500,46.3100,44.5900,42.7900,42.0500,43.3500,43.8000,44.2200,43.7600,42.3600,41.4200,41.5300,39.2400,34.2900,33.5700,34.1500,33.9800,31.6000,28.8700,25.6600,20.5000,23.7000,21.2900,,26.9800,27.0800
74,78,BXP,Boston Properties,Real Estate,128.7100,128.2000,128.3600,132.1800,137.4400,138.3400,137.5600,137.5900,138.5400,139.2800,135.1100,135.7800,137.6800,136.6400,135.0800,139.5600,142.0100,143.3500,142.7100,147.2300,145.7800,128.9400,132.5800,117.0600,82.0000,93.8200,83.0400,,95.5000,90.3600
75,79,BSX,Boston Scientific,Health Care,40.5300,38.2300,38.4700,40.8500,41.5100,40.5100,42.3100,41.8500,43.2500,44.0800,45.0900,45.3700,45.2200,44.9800,45.6700,44.2800,43.2100,41.8700,42.1900,42.3100,42.6200,37.3900,37.6000,32.3300,27.2400,30.6100,31.1700,,38.2900,36.9000
76,80,BHF,Brighthouse Financial Inc,Financials,37.1750,36.6600,36.9550,38.2100,39.0500,41.0200,40.4300,40.1200,41.1600,39.9100,42.1900,41.3000,39.4900,38.9900,39.1100,40.9900,40.7500,38.9000,42.2100,46.6500,46.1000,35.8400,29.7700,23.2600,16.1500,25.2800,19.7000,,22.6000,22.3800
