2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31
27.5500,27.4900,25.9800,25.3000,21.7600,16.6900
9.8200,11.3800,13.1200,11.1000,9.9600,6.7500
16.2600,16.6100,17.6800,17.4100,14.3300,7.0400
93.7500,97.6900,97.5600,96.9500,88.3900,74.9600
154.0800,160.4600,154.1000,160.7800,129.3900,99.5700
176.8000,181.7400,176.3500,175.4400,159.6900,132.3100
9.9800,11.2700,11.1600,12.4500,10.8800,7.9400
50.8600,53.3200,53.5600,52.2200,49.0000,52.7700
37.1600,36.0000,36.6000,33.3900,30.5000,20.7800
102.5800,104.3700,106.2300,93.5700,87.2400,67.3300
63.7100,67.2400,64.9800,63.2000,69.3600,74.7600
169.1800,181.1000,182.5600,195.4500,183.9700,144.2300
213.3800,221.3500,229.9300,237.7500,200.7700,154.5900
15.8700,15.9900,15.5550,13.1300,9.6850,5.8200
308.8400,316.9500,338.5200,302.6700,277.5400,248.5000
19.2500,20.9900,24.4700,21.8100,16.9600,6.8500
15.2100,15.0700,14.8500,13.7600,13.2400,7.8700
38.9100,36.3800,37.1900,33.4000,30.4700,18.9300
206.3100,201.0900,197.8700,221.3300,197.7300,180.1200
57.0800,61.8600,60.7700,59.2800,49.9500,35.2400
97.3100,101.7000,105.6100,101.8700,77.2500,71.5500
133.5400,138.6600,147.8100,138.8000,127.0100,89.8500
37.6200,34.8800,34.4700,35.9900,31.6400,23.8500
37.5000,39.5300,45.4300,40.5500,36.8900,15.6500
62.5850,68.9000,66.7200,68.9400,60.9400,50.5200
65.7500,62.0900,66.8100,56.5700,56.1800,33.3000
16.4100,15.8300,15.8600,13.9300,12.7900,9.7100
96.9600,105.0000,110.9100,107.8000,97.2000,68.2400
48.3100,51.3200,52.2100,53.5200,47.1200,35.1000
234.5800,220.5100,218.3800,228.1000,217.8400,186.7100
172.7300,178.5500,177.0000,173.2200,162.1700,133.7900
40.8900,44.5300,45.1100,47.2600,41.6000,46.6400
16.3900,17.4900,18.5500,16.3400,14.4800,11.0400
17.3700,20.0800,20.5500,21.3200,20.7900,17.3600
294.2000,341.2300,366.5200,336.2400,319.6800,314.0200
14.1300,14.8900,15.0800,13.5700,12.2700,8.2100
